label	query
Abkhazians	Abkhazia
Afghans	Afghanistan
Albanians	Albania
Algerians	Algeria
American Samoans	American Samoa
Andorrans	Andorra
Angolans	Angola
Anguillans	Anguilla
Antiguans	Antigua and Barbuda
Barbudans	Antigua and Barbuda
Argentines	Argentina
Argentineans	Argentina
Argentinians	Argentina
Armenians	Armenia
Arubans	Aruba
Australians	Australia
Austrians	Austria
Azerbaijanis	Azerbaijan
Azeris	Azerbaijan
Bahamians	Bahamas
Bahrainis	Bahrain
Bangladeshis	Bangladesh
Barbadians	Barbados
Belarusians	Belarus
Belgians	Belgium
Belizeans	Belize
Beninese	Benin
Beninois	Benin
Bermudians	Bermuda
Bermudans	Bermuda
Bhutanese	Bhutan
Bolivians	Bolivia
Bosnians	Bosnia and Herzegovina
Bosniaks	Bosnia and Herzegovina
Herzegovinians	Bosnia and Herzegovina
Batswana	Botswana
Botswanans	Botswana
Brazilians	Brazil
British Virgin Islanders	British Virgin Islands
Bruneians	Brunei
Bulgarians	Bulgaria
Burkinabè	Burkina Faso
Burkinabé	Burkina Faso
Bamar	Burma
Burmese	Burma
Burundians	Burundi
Cambodians	Cambodia
Cameroonians	Cameroon
Canadians	Canada
Caymanians	Cayman Islands
Central Africans	Central African Republic
Chadians	Chad
Chileans	Chile
Christmas Islanders	Christmas Island
Cocos Islanders	Cocos (Keeling) Islands
Colombians	Colombia
Comorians	Comoros
Cook Islanders	Cook Islands
Costa Ricans	Costa Rica
Croatians	Croatia
Croats	Croatia
Cubans	Cuba
Cypriots	Cyprus
Czechs	Czech Republic
Ivorians	Côte d'Ivoire
Congolese	Democratic Republic of the Congo
Dane	Denmark
Danes	Denmark
Djiboutians	Djibouti
Dominicans	Dominica
Dominicans	Dominican Republic
Timorese	East Timor
Ecuadorians	Ecuador
Egyptians	Egypt
Salvadorans	El Salvador
English	England
Equatorial Guineans	Equatorial Guinea
Equatoguineans	Equatorial Guinea
Eritreans	Eritrea
Estonians	Estonia
Ethiopians	Ethiopia
Falkland Islanders	Falkland Islands
Faroese	Faroe Islands
Fijians	Fiji
Finn	Finland
Finns	Finland
French	France
Frenchman	France
Frenchwoman	France
Frenchmen	France
Frenchwomen	France
French Guianese	French Guiana
